word	x	y	nearest
hospitality	-13.540810647	-83.6772878417	0.553
love	-85.6531325722	-50.9296318327	0.984
humour	-70.1021667248	33.1517191993	0.922
connivance	4.00314201291	-23.5854074383	0.238
market	44.7993518924	67.861102037	0.484
everybody	-14.6481467843	70.0953729129	0.754
wealth	-28.1631465289	79.5799351784	0.716
sake	-33.0349832291	83.8524361464	0.790
ingenuity	-0.568589964105	61.5379605857	0.668
visit	-81.2399244435	7.98423850254	0.950
vigour	44.1576513276	38.6216212362	0.483
wood	-27.0623994645	-80.7753313532	0.611
prey	15.6825705015	44.0513282303	0.469
memory	32.3620427334	41.3112302012	0.463
dismay	48.4006172777	-9.130324506	0.267
entrance	-66.0234636821	36.5844641866	0.915
sharing	27.4359032562	2.24203597989	0.303
condescension	-33.4277837223	-94.9194833137	0.616
altar	6.50527983852	-66.7703423392	0.276
repentance	41.4265573999	56.8245686014	0.522
envelope	53.9695207044	7.6262506952	0.232
breakfast-parlour	8.38554391077	-32.3998115991	0.265
clue	-12.180181774	-33.8696026309	0.225
virtue	-31.9313660156	58.8461406603	0.814
effort	61.7700725414	-0.889463961396	0.240
behalf	-36.7932160955	69.718001397	0.793
pretend	-13.311596994	77.2460455265	0.780
soul	43.9325337596	-31.6612431627	0.249
soup	17.735314493	48.6721023281	0.458
following	8.47047189722	79.8808126328	0.645
indolence	39.3948406591	51.226907852	0.497
